MCR Type,NewCategory,OldCategory
MCR22 - Services Routing,Conduit,MCR22-08-01
MCR22 - Services Routing,Conduit,MCR22-08-02
MCR22 - Services Routing,Duct,MCR22-09-01
MCR22 - Services Routing,Duct,MCR22-09-02
MCR22 - Services Routing,Pipe,MCR22-10-01
MCR22 - Services Routing,Pipe,MCR22-10-02
MCR22 - Services Routing,Pipe Concrete Encasement,MCR22-11-01
MCR22 - Services Routing,Underfloor Trunking,MCR22-12-01
MCR22 - Services Routing,Underfloor Trunking,MCR22-12-02
MCR23 - Equipment (Primary),Access Control Management Equipment,MCR23-01-01
MCR23 - Equipment (Primary),Air Handling Unit,MCR23-02-01
MCR23 - Equipment (Primary),Air Conditioning Unit,MCR23-03-01
MCR23 - Equipment (Primary),Boiler,MCR23-04-01
MCR23 - Equipment (Primary),Bulk Fuel Storage Tank,MCR23-05-01
MCR23 - Equipment (Primary),Chemical Pressurised Vessel,MCR23-06-01
MCR23 - Equipment (Primary),*Chiller,MCR23-07-01
MCR23 - Equipment (Primary),*Computer Room Air Conditioning Unit,MCR23-08-01
MCR23 - Equipment (Primary),*Cooling Tower,MCR23-09-01
MCR23 - Equipment (Primary),Distribution Frame (Primary),MCR23-10-01
MCR23 - Equipment (Primary),*Lift,MCR23-11-01
MCR23 - Equipment (Primary),*Escalator,MCR23-12-01
MCR23 - Equipment (Primary),*Fan (Ventilation),MCR23-13-01
MCR23 - Equipment (Primary),*Generating Set,MCR23-14-01
MCR23 - Equipment (Primary),Heat Pump,MCR23-15-01
MCR23 - Equipment (Primary),Main Switchgear,MCR23-16-01
MCR23 - Equipment (Primary),Main Distribution Switchboard,MCR23-17-01
MCR23 - Equipment (Primary),Motor Control Centre,MCR23-18-01
MCR23 - Equipment (Primary),Motor Control Panel,MCR23-19-01
MCR23 - Equipment (Primary),Overground Box,MCR23-20-01
MCR23 - Equipment (Primary),*Pump,MCR23-21-01
MCR23 - Equipment (Primary),Sub-Main Distribution Switchboard,MCR23-22-01
MCR23 - Equipment (Primary),*Transformer,MCR23-23-01
MCR23 - Equipment (Primary),Travellator,MCR23-24-01
MCR23 - Equipment (Primary),Uninterruptible Power Supply,MCR23-25-01
MCR23 - Equipment (Primary),Underground Pit,MCR23-26-01
MCR24 - Equipment (Secondary),Control Panel,MCR24-01-01
MCR24 - Equipment (Secondary),Dehumidifier,MCR24-02-01
MCR24 - Equipment (Secondary),Distribution Board,MCR24-03-01
MCR24 - Equipment (Secondary),Distribution Frame (Secondary),MCR24-04-01
MCR24 - Equipment (Secondary),Fan Coil Unit,MCR24-05-01
MCR24 - Equipment (Secondary),Fuel Day Tank,MCR24-06-01
MCR24 - Equipment (Secondary),Fuel Transfer Pump,MCR24-07-01
MCR24 - Equipment (Secondary),Heat Exchanger,MCR24-08-01
MCR24 - Equipment (Secondary),Heater Tank,MCR24-09-01
MCR24 - Equipment (Secondary),Inverter,MCR24-10-01
MCR24 - Equipment (Secondary),Non-Reinforced Concrete Tank,MCR24-11-01
MCR24 - Equipment (Secondary),Passive Displacement Ventilation,MCR24-12-01
MCR24 - Equipment (Secondary),Pneumatic Waste Conveyance Equipment,MCR24-13-01
MCR24 - Equipment (Secondary),Reinforced Concrete Tank,MCR24-14-01
MCR24 - Equipment (Secondary),Variable Speed Drive,MCR24-15-01
MCR24 - Equipment (Secondary),Pressure Vessel,MCR24-16-01
MCR25 - Fixture and Device,Access Control Management Fixture and Device,MCR25-01-01
MCR25 - Fixture and Device,Air Diffuser,MCR25-02-01
MCR25 - Fixture and Device,Air Grille,MCR25-03-01
MCR25 - Fixture and Device,Air Volume Box,MCR25-04-01
MCR25 - Fixture and Device,Breeching Inlet,MCR25-05-01
MCR25 - Fixture and Device,*Building Management Fixture and Device,MCR25-06-01
MCR25 - Fixture and Device,Car Parking Management Fixture and Device,MCR25-07-01
MCR25 - Fixture and Device,Closed Circuit Television Camera,MCR25-08-01
MCR25 - Fixture and Device,Damper,MCR25-09-01
MCR25 - Fixture and Device,Duct Accessory,MCR25-10-01
MCR25 - Fixture and Device,Electric Vehicle Charger Fixture and Device,MCR25-11-01
MCR25 - Fixture and Device,Electrical Switchgear and Switchboard Component,MCR25-12-01
MCR25 - Fixture and Device,Fire Alarm Fixture and Device,MCR25-13-01
MCR25 - Fixture and Device,Fire Hydrant,MCR25-14-01
MCR25 - Fixture and Device,Fireman Intercom Fixture and Device,MCR25-15-01
MCR25 - Fixture and Device,Food Waste Treatment Fixture and Device,MCR25-16-01
MCR25 - Fixture and Device,Hose Reel,MCR25-17-01
MCR25 - Fixture and Device,Hose Reel,MCR25-18-01
MCR25 - Fixture and Device,Lighting Device,MCR25-19-01
MCR25 - Fixture and Device,Lighting Fixture,MCR25-20-01
MCR25 - Fixture and Device,Lightning and Earthing Conductor Routing,MCR25-21-01
MCR25 - Fixture and Device,Lightning Protection and Earthing Fixture and Device,MCR25-22-01
MCR25 - Fixture and Device,Master Clock Fixture and Device,MCR25-23-01
MCR25 - Fixture and Device,"Metering, Monitoring and Control Device",MCR25-24-01
MCR25 - Fixture and Device,Power Installation Fixture and Device,MCR25-25-01
MCR25 - Fixture and Device,Sanitary Fitting,MCR25-26-01
MCR25 - Fixture and Device,Speaker,MCR25-27-01
MCR25 - Fixture and Device,Sprinkler,MCR25-28-01
MCR25 - Fixture and Device,Structured Cabling Fixture and Device,MCR25-29-01
MCR25 - Fixture and Device,Telecommunication Fixture and Device,MCR25-30-01
MCR25 - Fixture and Device,Valve,MCR25-31-01
MCR25 - Fixture and Device,Wireless Network Fixture and Device,MCR25-32-01
MCR26 - Spatial Allocation,Ceiling Access Location,MCR26-01-01
MCR26 - Spatial Allocation,Room,MCR26-02-01
MCR26 - Spatial Allocation,Area,MCR26-03-01
MCR26 - Spatial Allocation,Area,MCR26-03-02
MCR26 - Spatial Allocation,Space,MCR26-04-01
MCR26 - Spatial Allocation,Space,MCR26-04-02
MCR26 - Spatial Allocation,Maintenance/Operation,MCR26-05-01
MCR26 - Spatial Allocation,Stormwater Detention Tank,MCR26-06-01
