Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Walls,Basic Wall,LC01+3KB+BT (F) 300x600m-WT1931 (v),Basic Wall,B2020,Exterior Windows,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT (F) 300x600m-WT1931 (v),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+3KB+BT (F) 300x600m-WT1931,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT (F) 300x600m-WT1931,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+3KB+BT(WT1931),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT(WT1931),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+3KB+BT(WT1931),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT(WT1931),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+6KB+BT,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+6KB+BT,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+3KB+1T-300x600(140),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600(140),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+1HR,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+1HR,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,WC-12MM,Basic Wall,C1010100,Fixed Partitions,12MM THK PILASTER,MCR17,WC-12MM,SPLASHBACK-for render,,Compartment Wall
Walls,Basic Wall,WC-12MM,Basic Wall,C1010100,Fixed Partitions,12MM THK PILASTER,MCR17,WC-12MM,SPLASHBACK-for render,,Compartment Wall
Walls,Basic Wall,LC01+3KB+1T (V),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+1T (V),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+3KB+1T (V),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+1T (V),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,External_AAC_Block_100mm,Basic Wall,,,RC LEDGE,MCR17,External_AAC_Block_100mm,Masonry - Concrete Blocks,,Precision Blockwall
Walls,Basic Wall,External_AAC_Block_100mm,Basic Wall,,,RC LEDGE,MCR17,External_AAC_Block_100mm,Masonry - Concrete Blocks,,Precision Blockwall
Walls,Basic Wall,LC01(F)+3KB+1T_15MMTHK. (HT ERMOSA SILVER),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T_15MMTHK. (HT ERMOSA SILVER),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+3KB+1T-300x600 HT ERMOSA,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600 HT ERMOSA,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,Plaster Finish-15thk.,Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster Finish-15thk.,Plaster - Nippon Solitude 5035,,Wall Finish
Walls,Basic Wall,Plaster Finish-15thk.,Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster Finish-15thk.,Plaster - Nippon Solitude 5035,,Wall Finish
Walls,Basic Wall,Plaster Finish-25thk. 2,Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster Finish-25thk. 2,Plaster Finish(1),,Wall Finish
Walls,Basic Wall,LC01(F)+3KB+1T-300x600 HT ERMOSA (v),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600 HT ERMOSA (v),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,TILE (HT ERMOSA SILVER),Basic Wall,,,12MM THK TILES,MCR17,TILE (HT ERMOSA SILVER),<By Category>,,Wall Finish
Walls,Basic Wall,Plaster+Tile-25thk. (HT ERMOSA),Basic Wall,,,25MM THK TILES FINISHES,MCR17,Plaster+Tile-25thk. (HT ERMOSA),HT-LEA3009,,Wall Finish
Walls,Basic Wall,Plaster+Tile-25thk.,Basic Wall,,,25MM THK TILES FINISHES,MCR17,Plaster+Tile-25thk.,WT-1931,,Wall Finish
Walls,Basic Wall,Plaster+Tile-25thk.,Basic Wall,,,25MM THK TILES FINISHES,MCR17,Plaster+Tile-25thk.,WT-1931,,Wall Finish
Walls,Basic Wall,Plaster Finish-25thk.,Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster Finish-25thk.,Plaster Finish,,Wall Finish
Walls,Basic Wall,Plaster Finish-25thk.,Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster Finish-25thk.,Plaster Finish,,Wall Finish
Walls,Basic Wall,LC01+1P(3.1),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+1P(3.1),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+1P(3.1),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+1P(3.1),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+1P,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+1P,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(25MM-BS),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(25MM-BS),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+1P @ 15MM,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+1P @ 15MM,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,External_AAC_Block_100+150Air+50mm,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,External_AAC_Block_100+150Air+50mm,Masonry - Concrete Blocks,,Precision Blockwall
Walls,Basic Wall,Plaster+Tile-15thk. HT-RH2111(Bianco Mat) 600MM (2MM),Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Plaster+Tile-15thk. HT-RH2111(Bianco Mat) 600MM (2MM),<By Category>,,Wall Skirting
Walls,Basic Wall,Plaster+Tile-15thk. HT-RH2111(Bianco Mat),Basic Wall,,,15MM THK PLASTER AND PAINT FINISHES,MCR17,Plaster+Tile-15thk. HT-RH2111(Bianco Mat),<By Category>,,Wall Finish
Walls,Basic Wall,LC01+7KB+1T (LOW WALL) (HT ERMOSA),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+7KB+1T (LOW WALL) (HT ERMOSA),<By Category>,,Precision Blockwall
Walls,Basic Wall,LC01+3KB+BT(HT ERMOSA),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT(HT ERMOSA),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,Plaster+Tile-25thk.300x600 WT1931,Basic Wall,,,25MM THK TILES FINISHES,MCR17,Plaster+Tile-25thk.300x600 WT1931,WT-1931,,Wall Finish
Walls,Basic Wall,LC01(F)+3KB+1T-300x600,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,Plaster+Tile-15thk. HT-RH2111 600x600(HT TRIBECA GRIGIO),Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Plaster+Tile-15thk. HT-RH2111 600x600(HT TRIBECA GRIGIO),<By Category>,,Wall Skirting
Walls,Basic Wall,Plaster+Tile-15thk. HT-RH2111(Bianco Mat) 300MM (2MM),Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Plaster+Tile-15thk. HT-RH2111(Bianco Mat) 300MM (2MM),<By Category>,,Wall Skirting
Walls,Basic Wall,Skirting-HT-TRIBECA GRIGO R10-600MM (2MM) SKIRTING,Basic Wall,C3010150,Wall Finishes - Tile,100MM(H) TILES SKIRTING,MCR17,Skirting-HT-TRIBECA GRIGO R10-600MM (2MM) SKIRTING,HT-TRIBECA GRIGO R10-600MM (2MM) SKIRTING,,Wall Skirting
Walls,Basic Wall,Skirting-HT-TRIBECA GRIGO R10-300x600,Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Skirting-HT-TRIBECA GRIGO R10-300x600,HT-TRIBECA GRIGO R10-300x600,,Wall Skirting
Walls,Basic Wall,Skirting-HT-TRIBECA GRIGO R10-300x600 (1.5),Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Skirting-HT-TRIBECA GRIGO R10-300x600 (1.5),HT-TRIBECA GRIGO R10-300x600(1.5),,Wall Skirting
Walls,Basic Wall,LC01+3KB+BT (F),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT (F),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01+4KB+1T (LOW WALL) WT1931,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+4KB+1T (LOW WALL) WT1931,WT-1931,,Precision Blockwall
Walls,Basic Wall,External_AAC_Block_100+100Air+50mm,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,External_AAC_Block_100+100Air+50mm,Masonry - Concrete Blocks,,Precision Blockwall
Walls,Basic Wall,Skirting-HT-TRIBECA GRIGO R10-300MM (2MM) SKIRTING,Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Skirting-HT-TRIBECA GRIGO R10-300MM (2MM) SKIRTING,HT-TRIBECA GRIGO R10-300MM (2mm),,Wall Skirting
Walls,Basic Wall,External_Masonry_Block_300mm (Entrance Signage) - Cyan,Basic Wall,,,3MM THK ALUM. BOX UP BASE IN SPRAY PAINTED FINISH,MCR17,External_Masonry_Block_300mm (Entrance Signage) - Cyan,Wall_BlockMasonry,,Wall Finish
Walls,Basic Wall,LC01(F)+3KB+1T (Add'l finish),Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T (Add'l finish),100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,LC01(F)+3KB+1T,Basic Wall,,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T,100MM THK. ALC PANEL WALL,,Precision Blockwall
Walls,Basic Wall,External_RC_200mm,Basic Wall,,,200MM THK RC WALL,MCR17,External_RC_200mm,Wall_Concrete,,Cast In-Situ RC Wall
Walls,Basic Wall,Plaster+Tile-25thk.300x600 WT1931 2,Basic Wall,,,100MM(H) TILES SKIRTING,MCR17,Plaster+Tile-25thk.300x600 WT1931 2,WT-1931(v)(4),,Wall Skirting
Walls,Basic Wall,WC-24MM,Basic Wall,C1010200,Demountable Partitions,18MM HANGING PARTITION PANEL,MCR17,WC-24MM,ADA_White,,Dry Wall
Walls,Curtain Wall,GlassBlock,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,GlassBlock,Curtain Wall,B2010148,Ext. Wall - Glass Block,190(L)MMX190(H)MMX95(W)MM GLASS BLOCK,MCR17,GlassBlock,<By Category>,,Curtain Wall
Walls,Curtain Wall,GlassBlock,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,GlassBlock,Curtain Wall,B2010148,Ext. Wall - Glass Block,190(L)MMX190(H)MMX95(W)MM GLASS BLOCK,MCR17,GlassBlock,<By Category>,,Curtain Wall
Walls,Curtain Wall,GlassBlock,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,GlassBlock,Curtain Wall,B2010148,Ext. Wall - Glass Block,190(L)MMX190(H)MMX95(W)MM GLASS BLOCK,MCR17,GlassBlock,<By Category>,,Curtain Wall
Walls,Curtain Wall,GlassBlock,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,CurtainPanel,,,,,AluminiumPanel - Blue,,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Rectangular Mullion,,,,,Rectangular_Mullion_Top_Right-PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,CurtainPanel,,,,,AluminiumPanel - Blue,,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Rectangular Mullion,,,,,Rectangular_Mullion_Top_Right-PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Curtain Wall,,,0.54MM THK COLORBOND KLIPLOK HI-TEN 406 AS FASCIA,MCR17,Metal Facade - Blue,<By Category>,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,CurtainPanel,,,,,AluminiumPanel - Blue,,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Rectangular Mullion,,,,,Rectangular_Mullion_Top_Right-PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Rectangular Mullion,,,,,Rectangular_Mullion_Center- PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,Curtain Wall,,,0.54MM THK COLORBOND KLIPLOK HI-TEN 406 AS FASCIA,MCR17,Metal Facade - Blue,<By Category>,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue,CurtainPanel,,,,,AluminiumPanel - Blue,,,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue - Klip Lok,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue - Klip Lok,Rectangular Mullion,,,,,Rectangular_Mullion_Top_Right-PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue - Klip Lok,System Panel,,,,,Glazed,,Glass - Frosted,Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue - Klip Lok,Rectangular Mullion,,,,,Rectangular_Mullion_Bottom_Left-PF,,Metal - Steel(Navy Blue),Curtain Wall
Walls,Curtain Wall,Metal Facade - Blue - Klip Lok,Curtain Wall,,,0.54MM THK COLORBOND KLIPLOK HI-TEN 406 AS FASCIA,MCR17,Metal Facade - Blue - Klip Lok,<By Category>,,Curtain Wall
Doors,ALUMINUM DOOR AD3-AD4,AD2 (1300x1500),ALUMINUM DOOR AD3-AD4,x,Solid Exterior Doors,Heavy duty aluminum door in powder coated finish,MCR03,AD2 (1300x1500),,Steel,General Door Item
Doors,DOUBLE LOUVER INSERT SWING DOOR,2800 x2750 - AD1,DOUBLE LOUVER INSERT SWING DOOR,,,Heavy duty aluminum frame aluminum louver door in powder coated finish,MCR03,2800 x2750 - AD1,,,General Door Item
Doors,QUADRUPLE LOUVER INSERT SWING DOOR,AD3 (1900x2900),QUADRUPLE LOUVER INSERT SWING DOOR,,,Heavy duty aluminum frame aluminum louver door in powder coated finish,MCR03,AD3 (1900x2900),,,General Door Item
Doors,BCA_Dr-Resi_2Leaf,MD9 (1500x2200),BCA_Dr-Resi_2Leaf,,,1HR fire-rated metal frame metal door in spray paint finish,MCR03,MD9 (1500x2200),,,General Door Item
Doors,BCA_Dr-NonResi_1Leaf1Swing,MD8 (900x2200),BCA_Dr-NonResi_1Leaf1Swing,,,Metal frame metal door w/ bottom louver in spray paint finish,MCR03,MD8 (900x2200),,,General Door Item
Doors,BCA_Dr-NonResi_1Leaf1Swings ASS,MD4 (1050x2200),BCA_Dr-NonResi_1Leaf1Swings ASS,,,Metal frame metal door w/ bottom louver in spray paint finish with horizontal pull bar & vertical pull handle,MCR03,MD4 (1050x2200),,,General Door Item
Doors,POC_Timber Door_Unequal Leaf(rend),MD10 (1500x2200),POC_Timber Door_Unequal Leaf(rend),,,Metal frame metal door w/ vision panel in spray paint finish,MCR03,MD10 (1500x2200),,FS1028 Granite Grey PVDF,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,RKD-IDR_Cubicle Door Placeholder_WC,600x1900mm,RKD-IDR_Cubicle Door Placeholder_WC,,,Internal Single Door,MCR03,600x1900mm,,,General Door Item
Doors,POC_Timber Door_Unequal Leaf,MD10 (1500x2200),POC_Timber Door_Unequal Leaf,,,Metal frame metal door w/ vision panel in spray paint finish,MCR03,MD10 (1500x2200),,FS1028 Granite Grey PVDF,General Door Item
Doors,POC_Timber Door_Unequal Leaf,MD10 (1500x2200) WITHOUT VISION PANEL,POC_Timber Door_Unequal Leaf,,,Metal frame metal door w/ vision panel in spray paint finish,MCR03,MD10 (1500x2200) WITHOUT VISION PANEL,,FS1028 Granite Grey PVDF,General Door Item
Doors,POC_Timber Door_Unequal Leaf,MD10 (1500x2200) WITHOUT VISION PANEL,POC_Timber Door_Unequal Leaf,,,Metal frame metal door w/ vision panel in spray paint finish,MCR03,MD10 (1500x2200) WITHOUT VISION PANEL,,FS1028 Granite Grey PVDF,General Door Item
Doors,D12,MD3 (900X2200) 2,D12,,,MALE & FEMALT TOILET,MCR03,MD3 (900X2200) 2,,,General Door Item
Doors,D12,MD3 (900X2200) 2,D12,,,MALE & FEMALT TOILET,MCR03,MD3 (900X2200) 2,,,General Door Item
Doors,BCA_SWING DOOR_VISION PANEL INSERT SWING DOOR1,1WaySwing_1000,BCA_SWING DOOR_VISION PANEL INSERT SWING DOOR1,,,METAL FRAME METAL DOOR W/VISION PANEL IN SPRAY PAINT FINISH,MCR03,1WaySwing_1000,,,General Door Item
Doors,Steel Door_Single Leaf,AD5 (1100X2100),Steel Door_Single Leaf,,,Heavy duty aluminum door in powder coated finish,MCR03,AD5 (1100X2100),,Steel,General Door Item
Doors,Steel Door_Single Leaf,AD5 (1100X2100),Steel Door_Single Leaf,,,Heavy duty aluminum door in powder coated finish,MCR03,AD5 (1100X2100),,Steel,General Door Item
Doors,POC_Roller Shutter,RS1 (4000X3200),POC_Roller Shutter,23-17 11 13 25 11,,1HR FIRE RATED GRILLE SHUTTER (MOTORISED),MCR03,RS1 (4000X3200),,,General Door Item
Doors,Steel Door_Double Leaf,MD1 (2000x2400),Steel Door_Double Leaf,,,Soundproofing metal acoustic door,MCR03,MD1 (2000x2400),,Steel,General Door Item
Doors,BCA_Dr-NonResi_2Sized1Leaf1Swing,MD11 (1050x2100),BCA_Dr-NonResi_2Sized1Leaf1Swing,,,1/2HR fire-rated metal frame metal door in spray paint finish,MCR03,MD11 (1050x2100),,,General Door Item
Doors,BCA_Dr-NonResi_2Sized1Leaf1Swing,MD12 (1050x2100),BCA_Dr-NonResi_2Sized1Leaf1Swing,,,Metal frame metal door in spray finish,MCR03,MD12 (1050x2100),,,General Door Item
Doors,BCA_Dr-NonResi_1Leaf1Swing1,MD6 (600x2200)-3,BCA_Dr-NonResi_1Leaf1Swing1,,,Metal frame metal door in spray finish,MCR03,MD6 (600x2200)-3,,,General Door Item
Doors,BCA_Dr-NonResi_1Leaf1Swing1,300X300,BCA_Dr-NonResi_1Leaf1Swing1,,,Metal frame metal door in spray finish,MCR03,300X300,,,General Door Item
Doors,Timber Door Sliding _ Single Leaf with Louver,D420 (1070x2200),Timber Door Sliding _ Single Leaf with Louver,23-17 11 15 10,,Metal frame metal slidign door in spray paint finish,MCR03,D420 (1070x2200),,,General Door Item
Floors,Floor,Screeding-50mmthk.,Floor,C3020100,Floor Toppings & Coatings,50MM THK SCEEDING,MCR04,Screeding-50mmthk.,Floor-Screeding,Floor-Screeding,Floor Finish
Floors,Floor,200 RC SLAB,Floor,C3020100,Floor Toppings & Coatings,Floor Hardener and Sealer.,MCR04,200 RC SLAB,"Concrete, Cast In Situ",Floor-Screeding,Floor Finish
Floors,Floor,FF-1 (300x600 HT LEA3009)(H),Floor,C3020430,Flooring - Tile,300X600 HT-LEA 3009,MCR04,FF-1 (300x600 HT LEA3009)(H),Floor-Screeding,HT-LEA3009,Floor Finish
Floors,Floor,GREEN PAVER,Floor,C,Interiors,EARTH,MCR04,GREEN PAVER,Green Paver,Earth,General Floor Item
Floors,Floor,FF-1 (300x600 HT LEA3009),Floor,,,300x600MM FLOOR TILE,MCR04,FF-1 (300x600 HT LEA3009),Floor-Screeding,HT-LEA3009,Floor Finish
Floors,Floor,FF-3(HT-TRIBECA GRIGO R10-300x600) 2mm(V),Floor,,,300x600MM FLOOR TILE,MCR04,FF-3(HT-TRIBECA GRIGO R10-300x600) 2mm(V),Floor-Screeding,HT-TRIBECA GRIGO R10-300x600,Floor Finish
Floors,Floor,FF-1 (300x600 HT LEA3009)(V),Floor,,,300x600MM FLOOR TILE,MCR04,FF-1 (300x600 HT LEA3009)(V),Floor-Screeding,HT-LEA3009,Floor Finish
Floors,Floor,FF-3(HT-TRIBECA GRIGO R10-300x600),Floor,,,300x600MM FLOOR TILE,MCR04,FF-3(HT-TRIBECA GRIGO R10-300x600),Floor-Screeding,HT-TRIBECA GRIGO R10-300x600,Floor Finish
Floors,Floor,FF-3(HT-TRIBECA GRIGO R10-300x600),Floor,,,300x600MM FLOOR TILE,MCR04,FF-3(HT-TRIBECA GRIGO R10-300x600),Floor-Screeding,HT-TRIBECA GRIGO R10-300x600,Floor Finish
Floors,Floor,FF-2 (Screed with Concrete Sealar),Floor,C3020100,Floor Toppings & Coatings,CONCRETE SEALER,MCR04,FF-2 (Screed with Concrete Sealar),Concrete Sealer,Floor-Screeding,Floor Finish
Floors,Floor,FF-2 (Screed with Concrete Sealar)-80,Floor,,,CONCRETE SEALER,MCR04,FF-2 (Screed with Concrete Sealar)-80,Concrete Sealer,Floor-Screeding,Floor Finish
Floors,Floor,100 RC SLAB,Floor,C3020490,Flooring - Other,COUNTER TOP SUPPORT,MCR04,100 RC SLAB,"Concrete, Cast In Situ(2)",Concrete - Cast In Situ,General Floor Item
Floors,Floor,40 S/S PLATE,Floor,C30,Interior Finishes,LEDGE OUTSIDE SECURITY ROOM,MCR04,40 S/S PLATE,"Concrete, Cast In Situ(3)",Stainless Steel,General Floor Item
Floors,Floor,Tile,Floor,,,SOLID SURFACE FOR TOILET MAINTENANCE LEDGE,MCR04,Tile,<By Category>,Solid Surface,Floor Finish
Floors,Floor,Flr 200,Floor,B1010,Floor Construction,APRON SLAB,MCR04,Flr 200,"Concrete, Cast In Situ",Concrete - Cast In Situ,General Floor Item
Floors,Floor,Gravel,Floor,C3020,Floor Finishes,20-30MM PEBBLES,MCR04,Gravel,Gravel,PEBBLES,Floor Finish
Floors,Floor,Road Marker Yellow,Floor,C3020100,Floor Toppings & Coatings,THERMOPLASTIC ROAD MARKING,MCR04,Road Marker Yellow,Paint - Accessway Markings,Paint - Road Markings,Floor Finish
Floors,Floor,Steel Deck 2,Floor,C3020490,Flooring - Other,BWK 50800 EXPANDED MESH,MCR04,Steel Deck 2,"Steel, Galvanized",Steel - Alvarado -  Mesh,General Floor Item
Floors,Floor,Grass (Planting Verge),Floor,B,Shell,LANDSCAPE,MCR04,Grass (Planting Verge),Grass(Planting Verge),Grass(Planting Verge),General Floor Item
Floors,Floor,Grass (Planting Verge),Floor,B,Shell,LANDSCAPE,MCR04,Grass (Planting Verge),Grass(Planting Verge),Grass(Planting Verge),General Floor Item
Floors,Floor,150,Floor,B1010,Floor Construction,FIRE HYDRANT  - SLAB,MCR04,150,"Concrete, Cast In Situ","Concrete, Cast In Situ",General Floor Item
Floors,Floor,250 S/S PLATE 2,Floor,,,LEDGE OUTSIDE SECURITY ROOM,MCR04,250 S/S PLATE 2,"Concrete, Cast In Situ(3)",Stainless Steel,General Floor Item
